TIPO DE TRANSPORTE,Ciudad,Viajeros y tasas,Periodo,Total,pm2.5 avg
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M01,12.695,28.570915447157372
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M02,14.153,13.44081653292087
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M03,16.698,16.697877189787604
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M04,15.155,8.251961278378104
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M05,17.259,11.750848050113518
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M06,15.907,11.007088255530924
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M07,15.744,12.660392707699382
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M08,12.268,9.848502782627756
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M09,16.104,5.793345702339044
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M10,17.774,12.72181858984982
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M11,17.387,6.012349031630181
Transporte urbano regular por autobús,08019 Barcelona,Viajeros transportados,2022M12,14.974,12.017340457045194
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M01,2.367,0.0
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M02,2.493,0.0
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M03,2.861,13.695238095238095
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M04,2.359,3.4591836734693877
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M05,2.78,5.811475409836065
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M06,2.647,6.168539325842697
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M07,2.116,8.663157894736843
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M08,1.898,5.0594059405940595
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M09,2.622,2.91044776119403
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M10,2.868,5.175
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M11,2.979,2.025
Transporte urbano regular por autobús,48020 Bilbao,Viajeros transportados,2022M12,2.921,3.261904761904762
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M01,26.723,11.194262560056124
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M02,29.768,10.523692285199958
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M03,35.376,11.896024464831804
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M04,30.259,6.955306596398946
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M05,33.681,9.555704513669387
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M06,32.514,10.262553871672065
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M07,25.225,12.462988677896528
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M08,20.453,11.32873139808836
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M09,33.935,8.112390026368868
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M10,36.342,11.657261010530059
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M11,36.084,7.522816880353931
Transporte urbano regular por autobús,28079 Madrid,Viajeros transportados,2022M12,32.808,9.462778285846749
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M01,2.481,13.4056338028169
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M02,2.627,12.812688821752266
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M03,3.143,14.445460317460322
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M04,3.275,5.960000000000002
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M05,3.327,9.836176470588232
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M06,3.354,6.314893617021281
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M07,3.232,10.278214285714288
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M08,3.648,10.752884615384612
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M09,3.53,6.923544303797473
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M10,3.689,11.258484848484851
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M11,3.633,9.980770791075027
Transporte urbano regular por autobús,29067 Málaga,Viajeros transportados,2022M12,3.501,12.9544920993228
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M01,4.792,13.4056338028169
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M02,5.16,12.812688821752266
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M03,6.264,14.445460317460322
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M04,6.167,5.960000000000002
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M05,6.479,9.836176470588232
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M06,5.402,6.314893617021281
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M07,4.098,10.278214285714288
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M08,3.376,10.752884615384612
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M09,5.713,6.923544303797473
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M10,6.569,11.258484848484851
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M11,6.517,9.980770791075027
Transporte urbano regular por autobús,41091 Sevilla,Viajeros transportados,2022M12,5.988,12.9544920993228
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M01,5.083,10.937768240343347
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M02,5.179,12.28918918918919
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M03,6.509,11.417417417417417
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M04,5.794,7.034883720930233
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M05,6.991,13.381578947368421
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M06,6.815,12.238805970149254
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M07,6.226,15.120689655172415
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M08,5.062,14.566037735849056
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M09,6.997,7.819047619047619
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M10,7.453,9.282608695652174
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M11,7.644,3.959537572254335
Transporte urbano regular por autobús,46250 València,Viajeros transportados,2022M12,7.21,7.413926499032882
